timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz
1766547769.942472,-80.15,-0.99,-0.34,0.016601563,-0.005859375,0.984863281,-0.0625,0.0625,0,27.3,-42.4,18
1766547769.963208,-80.15,-0.94,-0.28,0.016113281,-0.004882813,0.985839844,-0.0625,-0.0625,0,25.9,-41.8,17.8
1766547770,-80.15,-0.95,-0.34,0.016113281,-0.005859375,0.985839844,-0.0625,0.25,0,27,-41.8,17.4
1766547770.004831,-80.14,-0.94,-0.33,0.016113281,-0.005371094,0.985351563,-0.0625,0,-0.125,27,-43.3,16.3
1766547770.030099,-80.16,-0.92,-0.34,0.016113281,-0.006347656,0.985839844,0,0.1875,0,26.1,-42.4,18.4
1766547770.048605,-80.15,-0.95,-0.32,0.016113281,-0.006347656,0.986816406,-0.125,0,-0.0625,26.7,-42.3,17.4
1766547770,-80.14,-0.92,-0.32,0.016113281,-0.005859375,0.986328125,-0.0625,0.1875,0,28,-42,18.4
1766547770.090702,-80.13,-0.93,-0.25,0.016113281,-0.005371094,0.986328125,-0.0625,0.0625,-0.0625,26.8,-42,17.7
1766547770.1112902,-80.13,-0.92,-0.33,0.015625,-0.005859375,0.985839844,-0.125,0.0625,-0.0625,26.2,-41.5,17.4
1766547770,-80.12,-0.92,-0.3,0.015625,-0.005371094,0.985839844,-0.1875,0.0625,0,28.3,-40.9,17.7
1766547770.1566741,-80.11,-1,-0.28,0.016601563,-0.004882813,0.985351563,-0.0625,0,0,26.7,-40.3,18.6
1766547770.177906,-80.1,-0.95,-0.24,0.016113281,-0.004394531,0.986328125,-0.0625,0.25,0.0625,27,-42.6,17.1
1766547770.2013671,-80.09,-0.95,-0.31,0.016113281,-0.005371094,0.986328125,-0.1875,0.0625,-0.0625,26.1,-42.4,18.7
1766547770,-80.09,-0.92,-0.32,0.015625,-0.005859375,0.985839844,-0.0625,0.0625,-0.0625,26.2,-41.8,17.1
1766547770.241317,-80.08,-0.9,-0.33,0.015625,-0.005371094,0.984863281,-0.125,0.0625,0,25.5,-42.6,17.4
1766547770.262013,-80.08,-0.95,-0.27,0.016601563,-0.004882813,0.986328125,-0.0625,0.0625,0,27.6,-43.9,16.2
1766547770.2847202,-80.07,-0.95,-0.34,0.016113281,-0.006347656,0.985839844,0,0.1875,0,27,-41.5,17.4
1766547770.3024151,-80.07,-0.95,-0.32,0.015625,-0.005859375,0.986328125,-0.125,0,-0.0625,26.7,-41.8,19.3
1766547770.327211,-80.08,-0.87,-0.32,0.015136719,-0.005859375,0.986816406,0,0.125,0,26.5,-41.7,17.7
1766547770.3487391,-80.07,-0.88,-0.25,0.015625,-0.005371094,0.986816406,-0.0625,0,0.0625,28.2,-43.3,17.8
1766547770.3713238,-80.06,-0.91,-0.26,0.016113281,-0.004882813,0.985839844,-0.125,0.125,-0.0625,26.5,-42,17.7
1766547770.391326,-80.05,-0.87,-0.31,0.015625,-0.005859375,0.985351563,-0.1875,0.125,0,26.5,-42,18.4
1766547770.4105759,-80.05,-0.98,-0.3,0.016601563,-0.005371094,0.986328125,-0.0625,0.0625,-0.0625,25.9,-41.8,18.6
1766547770.433509,-80.04,-0.92,-0.31,0.015625,-0.005859375,0.985839844,-0.1875,0.1875,0,25.8,-43.9,18.4
1766547770.454251,-80.03,-0.94,-0.29,0.016113281,-0.005371094,0.986328125,-0.125,0.0625,0,27,-43,17.8
1766547770.475462,-80.03,-0.92,-0.32,0.015625,-0.005859375,0.986328125,-0.0625,0.125,0,26.5,-42.4,17.2
